,Unnamed: 0,id,poster_path,adult,overview,release_date,genre_ids,original_title,original_language,title,backdrop_path,popularity,vote_count,video,vote_average,media_type,budget,duration,revenues,spoken_languagess,genre_list,is_terror_comedia,val_count,quantile,count_labels,Música,Romance,Familia,Bélica,Película de TV,Aventura,Fantasía,Animación,Drama,Terror,Acción,Comedia,Historia,Western,Suspense,Crimen,Ciencia ficción,Misterio,Documental,reciente
20,30,943221,/tshEIrdYNHQYubiiRz8mRZR6KQA.jpg,False,"La misteriosa enfermedad de su hermana pequeña hará que Nala y su familia viajen a la casa de su abuela para encontrar la cura. En este lugar, ella aprenderá sobre leyendas locales de brujas que se alimentan de la sangre de los niños para permanecer por siempre jóvenes. Mientras más conoce Nala sobre estos seres diabólicos, más se convencerá de que su abuela podría ser una bruja.",2022-09-24,27,Mal de ojo,es,Mal de ojo,/xOcwcyLM2lqXCrZG8AIHC8DXElF.jpg,154.289,191,False,6.8,movie,1704500,100,0,"{'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}",['27'],0,2571,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
21,31,760204,/mMAqfB1JG3nGTaqtNQT4JkkzD6u.jpg,False,"En su última misión en Afganistán, Kate, una piloto de la RAF, es herida. Para escapar de su perseguidores, se refugia en un búnker que antiguamente había sido usado por los rusos para experimentar con ADN alienígena. La batalla entre soldados y monstruos mutantes está servida.",2022-10-28,27-28,The Lair,en,La guarida,/fMymfWwgTfXh9RkBCFuaZrdn8Of.jpg,170.699,98,False,5.8,movie,0,93,0,"{'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}","['27', '28']",0,55,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
22,33,848058,/kmCjZjm4CHuuJdwUdn3h93WqDdR.jpg,False,"Debido a su obesidad, Sara vive atormentada por las continuas burlas de las otras chicas de su pequeño pueblo. Pero todo cambiará cuando un desconocido llegue al pueblo y secuestre a sus acosadoras. Sara sabe más de lo que dice, y tendrá que decidir entre hablar y salvar a las chicas, o no decir nada para proteger al extraño hombre que la ha salvado.",2022-10-07,53-18-27,Cerdita,es,Cerdita,/2ZpwPckspTSY9sVEkjEyatgBWT7.jpg,148.357,317,False,6.6,movie,2400000,100,380512,"{'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}","['53', '18', '27']",1,33,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1
23,34,880841,/9L9uR1gtXr9WgZkNTGc7bThO6Dm.jpg,False,"Después de que una joven pareja se muda a una casa de campo remota con su hijo pequeño, la lucha de la mujer con la psicosis posparto comienza a intensificarse... a medida que la casa revela sus propios secretos.",2022-06-17,27-9648-53,Abandoned,en,Abandoned,/rXFe9rYsq4j1zEiOivJoUfdWsuR.jpg,149.844,213,False,6.3,movie,0,102,0,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}","['27', '9648', '53']",1,254,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
24,36,1073413,/grA55EHmkQ4rccvbphl1WQWqdr7.jpg,False,"Madrid, España, 1998. Los muchos recursos y habilidades de Gloria, Paz y Sagrario, tres mujeres de mediana edad que investigan sucesos paranormales, son puestos a prueba cuando su líder, el padre Pilón, tiene un desagradable encuentro.",2023-04-14,35-27-53,Fenómenas,es,Fenómenas,/2WjPxVZoF3S0b5ZkOMhSsKh5siM.jpg,181.968,23,False,5.9,movie,0,96,0,"{'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}","['35', '27', '53']",1,36,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
25,37,888257,/fBJgLhJQdrhv9aQBUYKB4Rrxcl5.jpg,False,"En 1866, un joven médico es convocado por su tío a un pueblo remoto en los Ozarks solo para descubrir a su llegada que el paraíso utópico no es todo lo que parece ser.",2022-02-04,37-27-9648,Ghosts of the Ozarks,en,El Misterio de Ozark,/qQWR4f765vp8uRKaY39R8W47wLX.jpg,114.286,16,False,6.3,movie,0,100,0,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}","['37', '27', '9648']",0,2,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
26,38,760161,/eed4qNf174pcT65it1PBbaTTL3x.jpg,False,"Tras escapar de un centro psiquiátrico estonio, Leena Klammer viaja a América haciéndose pasar por Esther, la hija desaparecida de una familia adinerada. Pero cuando su máscara empieza a caer, se enfrenta a una madre que protegerá a su familia de la ""niña"" asesina a cualquier precio.",2022-08-19,27-53,Orphan: First Kill,en,La huérfana: Primer asesinato,/5GA3vV1aWWHTSDO5eno8V5zDo8r.jpg,137.709,1666,False,6.8,movie,0,99,9572765,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}","['27', '53']",1,1068,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
27,39,788752,/gd6ZQn6bM2IEELW8lURA9dP2jiO.jpg,False,"Thale (17) acaba de mudarse con sus padres a un pequeño pueblo después de que su madre tuviera un nuevo trabajo en la policía local. Después de que una estudiante es asesinada brutalmente en una fiesta a la que asiste Thale, ella se convierte en una testigo clave. ¿El asesino era un animal? ¿Un lobo?",2023-02-03,27-53-9648,Vikingulven,no,Lobo vikingo,/1pDYetDF3r9V7ZB5SeyoPcUkBiB.jpg,140.59,203,False,5.9,movie,0,97,0,"{'english_name': 'Norwegian', 'iso_639_1': 'no', 'name': 'Norsk'}","['27', '53', '9648']",1,112,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
28,41,756999,/y4l0lGNg2IKKIU8Fd2w0niNoMSI.jpg,False,"En una ciudad de Colorado, en los años 70, un enmascarado secuestra a Finney Shaw, un chico tímido e inteligente de 13 años, y le encierra en un sótano insonorizado donde de nada sirven sus gritos. Cuando un teléfono roto y sin conexión empieza a sonar, Finney descubre que a través de él puede oír las voces de las anteriores víctimas, las cuales están decididas a impedir que Finney acabe igual que ellas.",2022-06-24,27-53,The Black Phone,en,Black Phone,/AfvIjhDu9p64jKcmohS4hsPG95Q.jpg,130.698,3771,False,7.8,movie,17000000,103,161440742,"{'english_name': 'German', 'iso_639_1': 'de', 'name': 'Deutsch'}","['27', '53']",1,1068,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
29,42,675054,/nEySe5f19wlKt6GDMhFmKJH18pU.jpg,False,"Dos adolescentes un poco inadaptados socialmente, uno cinéfilo de películas clásicas de antaño y el otro un aspirante a ser experto en parkour, deben enfrentarse a un inesperado reto: prevenir un apocalipsis zombi, al mismo tiempo que ponen a prueba su amistad y buscan su primer amor.",2022-10-26,27-28-35,MexZombies,es,MexZombies,/b2FxWOxe9K7ZZ1uaPOze2RJ1ajq.jpg,136.656,136,False,7.1,movie,0,93,0,"{'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}","['27', '28', '35']",0,17,0,3,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
