,id,title,release_date,key,characters,genre
232,931778,The Psychology of Analogue,,Psycho,[],[]
233,660550,El psicópata del Batavia,2018-01-01,Psycho,[],[]
234,662775,Psycho Hillbilly Cabin Massacre!,,Psycho,[],[]
235,421738,Psychopath for a Day,2013-07-27,Psycho,[],[]
236,672658,Untitled Brock Bizzell Psychological Horror Short,,Psycho,,"[18, 27]"
237,428072,"One Way or Another, Reflections of a Psycho Killer",2012-04-18,Psycho,Psycho Killer,[]
238,428438,Nightmare in Psycho Town,2014-07-21,Psycho,Jack,[]
239,425405,Psycho Porpoise,2003-01-01,Psycho,[],[]
240,421738,Psychopath for a Day,2013-07-27,Psycho,[],[]
241,425405,Psycho Porpoise,2003-01-01,Psycho,[],[]
242,931468,Psycho Money,2022-01-26,Psycho,"Aaron AKA ""Wrath""",[80]
243,418260,Psycho Vampire,1992-01-01,Psycho,Psycho Charlie,[27]
244,418261,Psycho Dance,1992-01-01,Psycho,Psycho Charlie,[27]
245,931778,The Psychology of Analogue,,Psycho,[],[]
246,1049437,Psychology of Camera Presence,1974-02-09,Psycho,[],[]
247,1049078,Psycho Sex Killer,1991-11-11,Psycho,[],"[80, 28]"
248,791163,A PSYCHO,2013-01-01,Psycho,Jack,"[53, 28]"
249,280037,Psycho Re-Mix,2003-01-01,Psycho,[],[]
250,810254,Becoming a Psychologist,,Psycho,[],[]
251,810498,Psychology Today,2021-02-24,Psycho,[],[]
252,770155,The Jesus and Mary Chain: Psychocandy,2011-09-27,Psycho,Self,[10402]
253,1062788,Psychosis,2020-11-20,Psycho,Jasper,[53]
254,572943,Psychopath,,Psycho,Sarah,[]
255,803110,JAPANARAMA! Psycho TV From Japan Vol. 2,,Psycho,[],[35]
256,803112,JAPANARAMA! Psycho TV From Japan Vol. 3,,Psycho,[],[35]
257,562602,Psychosynthesis,1975-01-01,Psycho,[],[]
258,288194,Psychos in the Woods,2012-08-21,Psycho,[],[]
259,1024073,3 Psychopathes,1991-06-01,Psycho,,[27]
260,1040606,Psychose Nocturne,,Psycho,[],[]
261,786811,Psycho Pussy Slaughter,2007-01-01,Psycho,[],[]
262,1048451,Psychoward,,Psycho,,[]
263,555648,Miss Psychorama 1986,,Psycho,[],"[27, 35]"
264,1042076,Halloweenie: Curse of the Psycho Chef,1997-01-01,Psycho,[],[]
265,253866,Hysterical Psycho,2009-04-29,Psycho,Chuck,[27]
266,539024,Babes in Psycho Land,,Psycho,Andy / Alex Pierce,[27]
267,1033731,Frat Boy Psycho,2021-11-05,Psycho,John,[35]
268,533812,Psycho Attack Over Soviets,1991-04-19,Psycho,Главная роль,"[35, 99]"
269,534411,Vitaliy Versace's Psycho,2016-04-27,Psycho,Ariel Castro,"[18, 53]"
270,531550,La Psycho,2016-01-01,Psycho,[],[16]
271,1057482,Psychosis Awakens And Craves Earthly Essence,2022-07-08,Psycho,[],[]
272,275770,Psychobilly: Behind the Music,2006-01-01,Psycho,[],[]
273,802955,Muse: Psycho UK Tour (Bonus),2015-01-01,Psycho,[],[]
274,567841,Psycho Wimp,1980-03-21,Psycho,[],[]
275,809822,Psycho Norman's 1st Cousin Once Removed,,Psycho,Mr Bates,[]
276,801927,Psycho/Viennale Spot,1997-09-01,Psycho,[],[]
277,807412,Cult of the Psycho Sisters,2017-01-13,Psycho,[],[]
278,1011673,Prescription Psychosis ASMR,,Psycho,[],[27]
279,996506,Documenting a Modern Psychopath,2021-04-02,Psycho,[],[]
280,970473,Prototype I: Quantum Leaps in Trans Semiotics through Psycho-Analytical Snail Serum,,Psycho,[],[]
281,692067,Three Approaches to Psychotherapy,1965-09-23,Psycho,[],[]
282,952936,PSYCHOTROPIA,2022-05-14,Psycho,Ryan,"[18, 9648]"
283,686111,Belgian Psycho,2012-04-07,Psycho,Jesus,"[35, 14, 27, 53]"
284,447762,Psychomotor Agitation,2015-08-01,Psycho,[],[]
285,947000,Psychogenic Fragments,1994-01-01,Psycho,[],[]
286,947122,Psychodrame d'un mariage,1964-10-28,Psycho,,[]
287,681582,Psycho Path,2019-09-14,Psycho,Laurel Rhodes,[27]
288,980979,The psychology of post-traumatic stress disorder,2018-06-25,Psycho,Narrator (voice),"[99, 16]"
289,478810,Psycho Space Demons,2003-01-01,Psycho,[],"[878, 35, 27]"
