,0
1552,90
1553,98
1554,90
1555,98
1556,107
1557,84
1558,96
1559,91
1560,75
1561,86
1562,108
1563,84
1564,100
1565,81
1566,55
1567,95
1568,86
1569,100
1570,93
1571,93
1572,118
1573,94
1574,94
1575,112
1576,79
1577,0
1578,70
1579,81
1580,96
1581,91
1582,89
1583,81
1584,93
1585,70
1586,89
1587,79
1588,99
1589,88
1590,102
1591,95
1592,85
1593,107
1594,86
1595,96
1596,83
1597,93
1598,104
1599,94
1600,84
1601,86
1602,99
1603,82
1604,84
1605,90
1606,105
1607,95
1608,80
1609,98
1610,109
1611,77
1612,80
1613,97
1614,98
1615,102
1616,89
1617,87
1618,88
1619,94
1620,81
1621,92
1622,75
1623,80
1624,95
1625,107
1626,80
1627,97
1628,92
1629,119
1630,102
1631,0
1632,85
1633,97
1634,102
1635,89
1636,87
1637,88
1638,88
1639,90
1640,84
1641,77
1642,84
1643,88
1644,74
1645,113
1646,89
1647,89
1648,90
1649,105
1650,80
1651,103
1652,90
1653,85
1654,103
1655,97
1656,90
1657,87
1658,75
1659,77
1660,86
1661,165
1662,118
1663,88
1664,93
1665,102
1666,92
1667,85
1668,88
1669,92
1670,84
1671,97
1672,90
1673,79
1674,80
1675,87
1676,100
1677,85
1678,90
1679,81
1680,88
1681,92
1682,92
1683,95
1684,96
1685,110
1686,112
1687,87
1688,81
1689,98
1690,87
1691,91
1692,94
1693,87
1694,80
1695,80
1696,97
1697,91
1698,85
1699,85
1700,85
1701,88
1702,105
1703,80
1704,97
1705,91
1706,106
1707,87
1708,108
1709,77
1710,93
1711,89
1712,90
1713,92
1714,85
1715,101
1716,68
1717,90
1718,82
1719,75
1720,92
1721,92
1722,102
1723,72
1724,95
1725,94
1726,97
1727,71
1728,86
1729,98
1730,87
1731,107
1732,96
1733,94
1734,84
1735,96
1736,92
1737,105
1738,84
1739,92
1740,80
1741,97
1742,91
1743,87
1744,95
1745,87
1746,89
1747,99
1748,94
1749,86
1750,107
1751,93
1752,112
1753,79
1754,88
1755,81
1756,81
1757,89
1758,92
1759,85
1760,96
1761,84
1762,103
1763,91
1764,88
1765,91
1766,96
1767,0
1768,88
1769,110
1770,92
1771,89
1772,89
1773,90
1774,97
1775,113
1776,85
1777,107
1778,94
1779,102
1780,91
1781,92
1782,92
1783,82
1784,112
1785,94
1786,92
1787,91
1788,87
1789,77
1790,88
1791,71
1792,73
1793,85
1794,85
1795,95
1796,92
1797,100
1798,88
1799,6
1800,22
1801,91
1802,98
1803,101
1804,84
1805,93
1806,86
1807,108
1808,105
1809,101
1810,93
1811,96
1812,99
1813,98
1814,91
1815,90
1816,90
1817,93
1818,101
1819,96
1820,83
1821,107
1822,85
1823,89
1824,99
1825,79
1826,105
1827,87
1828,105
1829,98
1830,114
1831,120
1832,92
1833,99
1834,83
1835,86
1836,83
1837,98
1838,75
1839,96
1840,90
1841,83
1842,87
1843,85
1844,125
1845,144
1846,86
1847,99
1848,96
1849,85
1850,79
1851,76
1852,96
1853,75
1854,97
1855,92
1856,97
1857,95
1858,100
1859,83
1860,91
1861,90
1862,91
1863,92
1864,90
1865,108
1866,90
1867,117
1868,86
1869,112
1870,88
1871,97
1872,99
1873,96
1874,84
1875,99
1876,85
1877,82
1878,90
1879,94
1880,92
1881,93
1882,72
1883,94
1884,85
1885,86
1886,132
1887,84
1888,96
1889,90
1890,110
1891,99
1892,79
1893,91
1894,90
1895,90
1896,60
1897,95
1898,90
1899,83
1900,84
1901,99
1902,92
1903,83
1904,84
1905,90
1906,92
1907,89
1908,107
1909,80
1910,88
1911,84
1912,100
1913,110
1914,85
1915,105
1916,117
1917,91
1918,93
1919,81
1920,92
1921,92
1922,95
1923,82
1924,97
1925,100
1926,117
1927,103
1928,88
1929,86
1930,111
1931,94
1932,98
1933,100
1934,92
1935,110
1936,92
1937,97
1938,89
1939,75
1940,109
1941,97
1942,98
1943,81
1944,92
1945,84
1946,88
1947,93
1948,89
1949,87
1950,102
1951,95
1952,103
1953,83
1954,100
1955,100
1956,88
1957,76
1958,86
1959,87
1960,84
1961,95
1962,90
1963,99
1964,94
1965,89
1966,94
1967,141
1968,95
1969,83
1970,86
1971,94
1972,94
1973,93
1974,90
1975,88
1976,99
1977,90
1978,90
1979,109
1980,133
1981,84
1982,97
1983,88
1984,94
1985,88
1986,82
1987,77
1988,114
1989,90
1990,85
1991,95
1992,89
1993,95
1994,105
1995,91
1996,98
1997,88
1998,89
1999,91
2000,91
2001,85
2002,85
2003,96
2004,87
2005,63
2006,92
2007,77
2008,90
2009,93
2010,105
2011,118
2012,80
2013,113
2014,93
2015,96
2016,85
2017,86
2018,92
2019,87
2020,110
2021,95
2022,90
2023,93
2024,90
2025,93
2026,85
2027,123
2028,92
2029,89
2030,93
2031,93
2032,93
2033,102
2034,84
2035,73
2036,102
2037,98
2038,80
2039,82
2040,70
2041,100
2042,86
2043,115
2044,97
2045,88
2046,96
2047,86
2048,89
2049,96
2050,87
2051,78
2052,74
2053,108
2054,93
2055,112
2056,116
2057,88
2058,89
2059,85
2060,103
2061,93
2062,122
2063,87
2064,90
2065,93
2066,80
2067,98
2068,103
2069,90
2070,89
2071,99
2072,83
2073,80
2074,78
2075,90
2076,93
2077,50
2078,84
2079,106
2080,87
2081,88
2082,0
2083,80
2084,91
2085,84
2086,93
2087,82
2088,95
2089,92
2090,80
2091,95
2092,89
2093,88
2094,94
2095,87
2096,107
2097,80
2098,95
2099,92
2100,113
2101,94
2102,88
2103,82
2104,89
2105,93
2106,87
2107,94
2108,85
2109,104
2110,109
2111,90
2112,99
2113,90
2114,93
2115,82
2116,94
2117,90
2118,84
2119,108
2120,103
2121,90
2122,91
2123,100
2124,89
2125,99
2126,75
2127,84
2128,88
2129,90
2130,90
2131,95
2132,112
2133,96
2134,85
2135,82
2136,92
2137,90
2138,107
2139,109
2140,104
2141,76
2142,91
2143,93
2144,85
2145,78
2146,98
2147,87
2148,98
2149,101
2150,73
2151,95
2152,90
2153,90
2154,86
2155,90
2156,94
2157,94
2158,95
2159,88
2160,89
2161,93
2162,89
2163,101
2164,90
2165,98
2166,95
2167,105
2168,95
2169,120
2170,89
2171,100
2172,98
2173,95
