,Unnamed: 0,id,adult,release_date,genre_ids,original_title,original_language,title,popularity,vote_count,vote_average,media_type,budget,duration,revenues,spoken_languagess,genre_list,is_terror_comedia,val_count,quantile,Música,Romance,Familia,Bélica,Película de TV,Aventura,Fantasía,Animación,Drama,Terror,Acción,Comedia,Historia,Western,Suspense,Crimen,Ciencia ficción,Misterio,Documental,reciente
1460,1460,16395,False,1980-04-02,27-53,Inferno,it,Inferno,9.05,511,6.7,movie,3000000,107,0,"{'english_name': 'Italian', 'iso_639_1': 'it', 'name': 'Italiano'}","['27', '53']",1,1068,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,43
1461,1461,48374,False,1995-10-01,27-10770,Piranha,en,Piraña III,10.019,74,4.7,movie,0,89,0,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}","['27', '10770']",0,65,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,28
1462,1462,295011,False,2018-09-14,27-53-28-18,Patient Zero,en,Paciente cero,11.969,309,5.3,movie,0,87,0,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}","['27', '53', '28', '18']",1,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,5
1463,1463,55215,False,2011-01-25,16-27-878,Dead Space: Aftermath,en,Dead Space: Aftermath,10.298,136,6.0,movie,2500000,85,0,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}","['16', '27', '878']",0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,12
1464,1464,45649,False,2010-09-01,35-18-14-27-9648,Rubber,en,Rubber,13.044,854,6.0,movie,500000,82,98017,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}","['35', '18', '14', '27', '9648']",0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,13
1465,1465,601844,False,2020-06-05,53-80-27-28,Becky,en,Becky,13.558,365,6.4,movie,0,93,1045873,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}","['53', '80', '27', '28']",1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,3
1466,1466,33061,False,1986-01-17,14-27,Troll,en,"Torok, el Troll",9.54,167,4.9,movie,1100000,82,5450815,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}","['14', '27']",0,59,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,37
1467,1467,15855,False,1943-08-12,27-10749-18-10402,Phantom of the Opera,en,El fantasma de la Ópera,11.291,159,6.3,movie,1500000,92,0,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}","['27', '10749', '18', '10402']",0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,80
1468,1468,25750,False,1996-10-08,27,Children of the Corn IV: The Gathering,en,Los chicos del maíz IV: La reunión,8.291,116,4.4,movie,0,85,0,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}",['27'],0,2571,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,27
1469,1469,18256,False,1995-11-14,53-18-27-9648,Castle Freak,en,Un castillo alucinante,10.29,160,6.3,movie,0,95,0,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}","['53', '18', '27', '9648']",1,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,28
